Storage Class,Number of Pods,Seconds
csi-manila-default,50,43
csi-manila-default,100,76
csi-manila-default,150,110
csi-manila-default,200,154
csi-manila-default,250,181
csi-manila-default,300,215
csi-manila-default,350,248
csi-manila-default,400,288
csi-manila-default,450,320
csi-manila-default,500,357
csi-manila-default,550,386
csi-manila-default,600,418
csi-manila-default,650,459
standard-csi,50,49
standard-csi,100,91
standard-csi,150,177
standard-csi,200,185
standard-csi,250,315
standard-csi,300,335
standard-csi,350,449
standard-csi,400,460
standard-csi,450,475
standard-csi,500,608
standard-csi,550,617
standard-csi,600,746
standard-csi,650,764
standard,50,46
standard,100,89
standard,150,120
standard,200,195
standard,250,355
standard,300,665
standard,350,672
standard,400,670
standard,450,562
standard,500,674
standard,550,765
standard,600,695
standard,650,800
